제목,내용,날짜,추천수,조회수
검사 생략하거나 결과 조작한 차량 민간검사소 25곳 업무정지,"국토부·환경부, 지자체와 합동 점검…25명 직무정지국토교통부[연합뉴스TV 제공](서울=연합뉴스) 윤보람 기자 = 일부 검사 항목을 생략하거나 결과를 조작하는 등 자동차 검사를 부정하게 해온..",02/23,0,344
다시 주목받는 ‘배터리 교체식’ 전기상용차,"배터리 교체 5~10분…찻값도 낮아져일본, 이스즈 등 5사 모여 실증 추진국내선 파워프라자가 제품 개발 중안전사고 및 수익성 문제는 해결과제파워프라자의 전기승합차인 ‘마스터EV 피스’가 배..",02/23,0,797
"무인기, UAM 총출동…국내 최대 드론쇼 24일 부산서 개막",138개사 534부스 참가…산업·일상 넘나드는 드론 융복합 사례글로벌 전문가 44명 콘퍼런스…진화하는 드론 산업 미래 조망지난해 드론쇼코리아 무인기[연합뉴스 자료사진](부산=연합뉴스) 조정..,02/23,0,243
"벤츠코리아, 내비게이션으로 신속항원검사 병원 정보 제공",(서울=연합뉴스) 박성민 기자 = 메르세데스-벤츠코리아는 신종 코로나바이러스 감염증(코로나19) 신속항원검사가 가능한 의료기관 정보를 차세대 차량 인포테인먼트 시스템 'MBUX'의 내비게이..,02/23,0,197
"루크 동커볼케 현대차그룹 부사장, `세계 올해의 자동차인` 선정",월드 카 어워즈 시상…글로벌 자동차 산업에 기여루크 동커볼케 현대차그룹 부사장[현대차그룹 제공. 재판매 및 DB 금지](서울=연합뉴스) 최평천 기자 = 현대차그룹은 루크 동커볼케 부사장이 ..,02/23,0,338
"현대위아, 한양대와 손잡고 차세대 블록코일 모터 공동 개발",기존 모터보다 작업중량 최대 40% 높아…협동로봇 등에 적용(서울=연합뉴스) 김보경 기자 = 현대위아가 한양대학교와 손잡고 차세대 모터 양산 시스템을 개발한다.현대위아는 22일 서울 성동구..,02/23,0,176
광주서 친환경 자동차 배터리 시험·인증 시설 개소,친환경 자동차 부품인증센터 배터리 시험동 개소식[광주시 제공. 재판매 및 DB 금지](광주=연합뉴스) 손상원 기자 = 광주에서 인증 수요가 급증하는 친환경 자동차 배터리와 관련한 모든 항목..,02/23,0,170
"솔루스첨단소재, 북미 진출 속도…캐나다 전지박 공장 7월 착공",솔루스첨단소재 캐나다 퀘벡주 공장 부지 사진[솔루스첨단소재 제공. 재판매 및 DB 금지](서울=연합뉴스) 권희원 기자 = 솔루스첨단소재가 오는 7월 캐나다 퀘벡주 전지박(이차전지용 동박) ..,02/23,0,183
"미국 슈퍼볼서 튼 기아 EV6 광고, 자동차 부문 선호도 1위 기록",미국 슈퍼볼 기아 EV6 광고 장면[이노션 제공. DB 및 재판매 금지](서울=연합뉴스) 김철선 기자 = 현대차그룹 계열 종합광고회사 이노션[214320] 월드와이드는 최근 미국프로풋볼(N..,02/22,2,1535
"국토부, 3.5톤 이하 소형화물차 충돌시험 강화한다",내년 신규모델에 적용…기존 모델은 2024년부터충돌 사고 예방 위해 비상제동장치 장착도 의무화화물차 적재 방식‧적재량‧적재함 표기 방식도 개정총중량 3.5톤 이하 소형..,02/22,1,687
"김천시, 수소차·전기굴착기 보급…구매 보조금 지원",2021 상하이 국제수소자동차대회에 전시된 현대차 넥쏘[촬영 차대운](김천=연합뉴스) 홍창진 기자 = 경북 김천시는 올해 수소전기차와 전기굴착기 보급사업에 나선다고 22일 밝혔다.김천시에 ..,02/22,0,395
르노삼성 1월 생산·내수·수출 실적 4년6개월 만에 모두 증가,"""XM3 약진 덕분…1월 수출만 전년 동기보다 377.6% 증가""(서울=연합뉴스) 박성민 기자 = 르노삼성차가 효자 모델인 소형 스포츠유틸리티차(SUV) XM3의 인기에 힘입어 올해 들어서..",02/22,2,394
"정부, 인니와 핵심광물·전기차 협력 확대한다…MOU 체결","문승욱 산업장관, 인니 경제·에너지 장관 등과 협력기반 확대 논의문승욱 장관, 인도네시아 투자부 장관 면담(서울=연합뉴스) 문승욱 산업통상자원부 장관(왼쪽)이 21일(현지시간) 인도네시아 ..",02/22,0,150
볼보 전기SUV `C40 리차지` 1천500대 사전계약 닷새 만에 완판,"볼보 첫 쿠페형 순수전기 SUV 'C40 리차지'[볼보자동차코리아 제공. 재판매 및 DB 금지]
 
(서울=연합뉴스) 박성민 기자 = 볼보차코리아는 지난 15일 사전계약을 ..",02/21,0,1061
"정부지원시설 처분한 한국GM, 보조금 반환 취소 1심 승소","군산공장 매각하면서 군산기술교육원 처분…법원 ""6년 운영의무 지켰다""한국GM[연합뉴스TV 제공](서울=연합뉴스) 황윤기 기자 = 한국GM이 군산공장 매각 과정에서 정부보조금 지원시설인 군산..",02/21,3,1068
"르노그룹, 작년 흑자전환…""XM3 하이브리드 등 친환경차가 주도""",영업이익률 3.6%…작년 경영 목표 2년 조기 달성XM3[르노삼성차 제공](서울=연합뉴스) 권희원 기자 = 프랑스 자동차 제조업체 르노그룹이 르노삼성차 부산공장에서 생산해 수출되는 XM3(..,02/21,0,630
보조금 확정에 막오른 전기차 구매전…지역별로 650만원까지 차이,보조금 미확정에 1월 전기차 판매↓…전남 나주 등 보조금 가장 많아경쟁업체·보조금 고려해 신차 출시도 잇따라(서울=연합뉴스) 김보경 기자 = 전국 지방자치단체의 올해 전기자동차 보조금 규모..,02/21,0,542
"에이스랩-LGU+, 빅데이터·AI 기반 자율주행차 진단기술 개발",자율주행차량 이상여부 진단 차세대 기술 개발[LG유플러스 제공. 재판매 및 DB 금지](서울=연합뉴스) 정윤주 기자 = LG유플러스는 국내 자율주행 솔루션 기업 에이스랩과 자율주행차량의 이..,02/21,0,176
검사·인증·기술개발 한곳서 가능…김제에 특장차종합센터 건립,"김제 특장차 종합지원센터 조감도[김제시 제공](김제=연합뉴스) 백도인 기자 = 전북 김제시는 특장차 검사와 인증, 기술 개발을 담당할 '특장차 종합지원센터'를 내년까지 건립한다고 21일 밝..",02/21,0,170
"서울시 ""비수도권 5등급차, 9월까지 저공해 조치시 과태료 취소""",[연합뉴스 자료 사진](서울=연합뉴스) 고현실 기자 = 서울시는 미세먼지 계절관리제 기간 운행하다 적발된 비수도권 소재 5등급 차량이 올해 9월 30일까지 저공해 조치를 완료하면 과태료를 ..,02/21,0,218
3.5t 이하 소형화물차 충돌시험 강화…신규모델에 내년부터 적용,기존모델은 2024년부터 순차 시행…비상제동장치 의무장착도 확대화물차 교통사고[독자 제공·자료사진. 재판매 및 DB 금지](서울=연합뉴스) 윤보람 기자 = 충돌 사고가 났을 때 더욱 치명적..,02/21,0,322
"""전기차 보조금, 독일·중국처럼 자국 기업 육성에 활용해야""","한국자동차연구원 보고서…""중·독, 자국산업 보호 위해 가격 상한선 설정""""일본, 자국산 겨냥해 외부 전력 공급 가능한 전기차에 보조금 혜택 확대""전기차[게티이미지뱅크 제공](서울=연합뉴스)..",02/21,1,202
"차량용 반도체, 3년 뒤 100조원 시장 열린다…업체간 경쟁 가열","시장조사업체 옴디아, 5년 연속 두 자릿수 성장 전망인텔·삼성전자 ""자율주행차 등 프리미엄 시장 잡아라""삼성전자, 첨단 차량용 시스템반도체 3종 공개[삼성전자 제공. 재판매 및 DB 금지]..",02/21,0,291
관행 된 선거 유세차량 불법개조…단속 한계에다 계도 조치만,안전 불감증에 인명사고로 이어져…명백한 법 위반이나 처벌 어려워유세용 버스에 설치된 발전기(천안=연합뉴스) 김준범 기자 = 16일 충남 천안시 동남구 청당동 천안동남경찰서에 주차된 국민의당..,02/21,0,222
충주시 올해 상반기 전기차 500대에 구매 보조,"충주시, 21일부터 전기차 보조금 신청 접수충주시 제공. 재판매 및 DB 금지(충주=연합뉴스) 권정상 기자 = 충북 충주시는 올해 상반기 86억원의 예산으로 전기 승용차 300대, 전기 화..",02/18,0,535
가평군 올해 전기차 266대 구매 지원,(가평=연합뉴스) 김도윤 기자 = 경기 가평군은 올해 전기자동차 구매 지원 물량을 266대로 정했다고 18일 밝혔다.승용차의 경우 최대 1천200만원을 지원한다.지원대상은 신청일 3개월 전..,02/18,2,469
"제네시스, 캐나다 자동차기자협회 선정 `올해의 차` 3관왕",(서울=연합뉴스) 김보경 기자 = 현대차그룹은 제네시스 브랜드가 캐나다 자동차 기자협회(AJAC)에서 선정하는 '2022 올해의 차' 시상에서 3관왕을 차지했다고 18일 밝혔다.AJAC는 ..,02/18,1,750
영동군 수소충전소 1곳 구축…수소차 19대 구매 지원,(영동=연합뉴스) 심규석 기자 = 충북 영동에 수소충전소가 1곳 생긴다.수소충전소[영동군 제공. 재판매 및 DB 금지]영동군은 18일 한국가스기술공사와 수소전기자동차 충전인프라 구축을 위한..,02/18,0,272
"인천시, 전기승용차 구매자에게 최대 1천60만원 지원",코엑스 전기자동차 충전소[연합뉴스 자료사진](인천=연합뉴스) 강종구 기자 = 인천시는 전기자동차 보급 확대를 위해 승용차 1대당 최대 1천60만원을 지원한다고 18일 밝혔다.시는 쾌적한 대..,02/18,0,345
청주시 전기·수소차 4천262대 구매비 지원,전기차[게티이미지뱅크 제공](청주=연합뉴스) 윤우용 기자 = 청주시는 올해 706억원을 들여 4천262대의 전기차와 수소차 구매비를 지원할 계획이라고 18일 밝혔다.전기 승용차 2천965대..,02/18,0,289
"현대차-교통안전공단, 택시운행정보 자동연계 시스템 공동개발","올해 출시 예정인 니로EV 택시전용 모델에 탑재기본 장착 단말기로 택시 운행정보 수집·차량 등록 가능현대차-교통안전공단, 택시운행정보 자동연계 시스템 공동개발[현대차그룹 제공. 재판매 및 ..",02/18,0,153
"부산시, 올해 전기차 1만여대 구매 보조금 지원","승용차 최대 1천50만원, 화물차 최대 1천900만원[그래픽] 전기차 누적 등록 대수(서울=연합뉴스) 장예진 기자 = 2일 국토교통부에 따르면 작년 자동차 신규 등록 대수가 전년보다 11%..",02/18,0,250
"울산시, 자동차 주행거리 줄이면 인센티브 지급…최대 10만원",'2050 탄소중립 도시 울산 실현' 선언식[울산시 제공. 재판매 및 DB 금지](울산=연합뉴스) 허광무 기자 = 울산시는 자동차 주행거리 단축 실적을 평가해 인센티브를 제공하는 '2022..,02/18,0,217
"현대차·기아, 1월 유럽판매 두자릿수 점유율로 `굿 스타트`","전체시장 감소에도 판매량 35.8%↑…전기차 작년 대비 64.8% 증가(서울=연합뉴스) 김보경 기자 = 차량용 반도체 수급난 여파로 올해 초부터 유럽 자동차 시장이 움츠러들었지만, 현대차·..",02/18,0,252
"창원시, 세계은행 주최 `교통수단 변화 포럼`서 수소 정책 발표",수소모빌리티 보급·충전인프라 구축 등 소개ZOOM으로 포럼 참석 중인 허성무 창원시장(오른쪽)[창원시 제공. 재판매 및 DB 금지](창원=연합뉴스) 김선경 기자 = 경남 창원시는 세계은행(..,02/18,0,157
"`군산형 일자리 사업` 본궤도…명신, 내년부터 전기차 양산",참여·협력업체들도 속속 가동 움직임…일자리 1천개 창출'군산형 일자리 사업' 기자회견(군산=연합뉴스) 홍인철 기자 = 강임준 군산시장(왼쪽 두 번째)과 신영대 국회의원(왼쪽 네 번째) 등이..,02/18,0,462
10년간 가장 많이 팔린 국산차는 그랜저…수입차는 벤츠 E클래스,"카이즈유데이터연구소 2012~2021년 신차등록 분석…전기차 급증현대차, '2021 그랜저'[현대차·기아 제공. 재판매 및 DB 금지] photo@yna.co.kr(서울=연합뉴스) 최평천 ..",02/17,0,1699
테슬라 모델3·모델Y 3만3천대 리콜…안전벨트 경고음 등 오류,"4개사 총 3만8천대…아우디 에어백 불량으로 4천492대 리콜테슬라 모델 Y[테슬라코리아 제공. 재판매 및 DB 금지](서울=연합뉴스) 최평천 기자 = 국토교통부는 테슬라코리아, 아우디폭스..",02/17,0,694
"용인시, 올해 전기차 2천158대 구매 지원…승용 1천50만원 보조",(용인=연합뉴스) 최해민 기자 = 경기 용인시는 올해 전기차 2천158대에 대한 구매 보조금을 지원한다고 17일 밝혔다.용인시청[용인시 제공. 재판매 및 DB 금지]이는 지난해 지원 대수(..,02/17,0,390
"KT 인공지능 음성인식 솔루션, 벤츠 차량에 탑재","美 세렌스와 공동개발…위치정보·검색 등 서비스KT, 메르세데스-벤츠 AI 음성인식 서비스 출시(서울=연합뉴스) KT가 미국의 차량용 AI 음성인식 솔루션기업 세렌스(Cerence)와 협력해..",02/17,0,324
"맵퍼스, 코레일 서울본부와 화물차 사고예방 MOU 체결","‘아틀란 트럭’에 서울 지역 4.5m이하, 고가 높이 데이터 등 제공모빌리티 맵 솔루션 기업 맵퍼스(대표이사 김명준)는 한국철도공사(이하 코레일) 서울본부와 화물차 사고예방을 위한 MOU를..",02/17,0,160
"대전시, 올해 전기차 6천59대 구매 지원…승용차 1천200만원",전기차 충전소[대전시 제공. 재판매 및 DB 금지](대전=연합뉴스) 정윤덕 기자 = 대전시는 올해 전기차 6천59대 구매에 736억원을 지원한다고 17일 밝혔다.지원물량이 지난해보다 60%..,02/17,0,220
"쉐보레 신형 볼트EV·볼트EUV, 올해 2분기 중 고객 인도",신규 배터리 모듈 탑재…1회 충전시 400㎞ 이상 주행쉐보레 볼트EUV(오른쪽)와 2022 볼트EV[한국지엠 제공. 연합뉴스 자료사진](서울=연합뉴스) 권희원 기자 = 한국GM의 글로벌 브..,02/17,0,411
"끝나지 않은 ‘요소수 대란’, 이젠 ‘불량 요소수’",요소수 대란 후 제품수 66종→922종으로불량 요소수 ‘박스갈이’로 판매...화물시장 교란VDA나 교통환경연구소서 인증必 확인 필요저품질 주입 시 기준 이상 황·나트륨 생성하고이물질 고형화..,02/16,2,3379
